label,doc
englishFootball,"Manchester United are making memories under Solskjaer and that matters. Nobody will ever forget the events in Paris whatever happens against Barcelona next month. But as Solskjaer is fond of pointing out, United are a club that wins trophies, so the FA Cup was the obvious prize to underline the dramatic turnaround under his leadership. Instead, United served up what Solskjaer himself described as their poorest performance of his reign. The 2-0 defeat to Arsenal in the Premier League might have been disappointing but it was not entirely deserved. Romelu Lukaku had the better chances. The 2-1 defeat at Wolves in the FA Cup quarter-final was different. It was, as he admitted, a backward step. ""We never had the urgency or the quality on the ball,"" said Solskjaer. ""The tempo wasn't high enough so we played into their hands really. I think we felt too comfortable in possession. We never managed to put their goalkeeper under pressure."" Indeed, Marcus Rashford's consolation goal in stoppage time was United's second shot on target all game. Solskjaer has succeeded in restoring United's counter-attack but on the night that he also restored Paul Pogba's captain's armband, his players produced a performance that harked back to the days of his predecessor. United dominated the ball but everything was too slow and they lacked the imagination to break down an organised defence. In the press conference afterwards, it was difficult to fault Solskjaer. He was generous in his appraisal of the opposition and disarmingly frank about the efforts of his own team without throwing his players under the bus. He had said what needed to be said, he explained, but would not be sharing that with the media. Then came the rallying call for the fans. ""We are ready to go again after the internationals,"" he continued. ""We have so much to play for. We cannot wait for the challenge for third and, of course, big nights like when Barcelona come. There are so many highlights to look forward to. Don't worry about the players' attitude because when we come back again we will give it a good go."" Solskjaer has certainly done that but how he could have done with continuing this FA Cup run. Having seen off Arsenal and Chelsea only Wolves stood in the way of a trip to Wembley - and they now play Watford for a place in the final. Whisper it but this might also have been United's best chance of denying Manchester City their unprecedented quadruple. It was about more than stopping others though. Louis van Gaal and Jose Mourinho know from experience that it takes more than a trophy or three to keep this job, but Solskjaer is the one who has embraced that tradition. ""April and May at Manchester United we narrow the focus and it's now about winning trophies,"" he said on the eve of the Wolves game. There was a tweak to the statement after the defeat with the reference to winning trophies removed but the sentiment staying the same. ""Manchester United in April and May always find our form,"" he said in one of his now customary references to the club's glory days. But United need to beat Barcelona if they are to progress to the last four of the Champions League. That is now their only shot at silverware this season and it is a long one. It's a pity because while the FA Cup did not save Van Gaal it might have been the making of Solskjaer. The critics of Mauricio Pochettino, the one time favourite to become United's next boss before the caretaker started racking up the wins, like to point to the absence of trophies on the Tottenham's coach's resume as evidence that he is not the right man for the job. In fact, it was Pochettino's comment about them in January that offered Solskjaer the perfect opportunity to position himself as a contrast to his prospective rival. After the Argentine implied that domestic cups were merely about ego, Solskjaer soon said: ""We can't just say top four and that's it. We've got to look whether we can win something this year."" Given that the odds of that now stand at 16/1 with most bookmakers, it seems the answer to that question is likely to be no. If so, his suitability to take Manchester United forwards next season and beyond will be assessed in a more sober climate than the euphoria that greeted the team's unexpected and exhilarating triumph against Paris Saint-Germain. A defeat or two can lend that perspective. It can lead to more forensic analysis. It might even spark renewed debate about the difference between the man who can correct course and the individual best placed to plot a new path; between the coach who can get his team playing when free of expectation and the one who can convince them to embrace it. They are key questions, ones worth asking even if the answer still turns out to be that extending Solskjaer's reign is simply the right thing to do. But questions that could not have been asked had he been able to add some more FA Cup magic to go with the European exploits. For that reason, the competition can only be seen as an opportunity missed."
englishFootball,"City remain in the hunt for the quadruple this season but slipped back down to second in the Premier League table following Liverpool's 2-1 win at Fulham on Super Sunday. Only a handful of senior players will remain in Manchester during the last international break of the season and Guardiola hopes he will not have to contend with any fresh injury concerns when the others return. ""I pray, pray, that they come back fit,"" Guardiola told City's website. ""They have to go to their national teams, they have to go, enjoy and play for their country, but I hope they can come back fit like they are now. ""Maybe they will go away, score three goals and return with the same rhythm, who knows? I just want them fit and here. ""Sergio, David Silva, Aymeric Laporte and a few others will have a week's rest. They will have a training programme to do a little bit each day and then a week of normal training ahead of the Fulham game."" City could face as many as eight games in April but Guardiola is confident his side have the physical and mental strength to maintain their challenge on all fronts. ""With the fixtures we have in April, we need everybody - it's crazy,"" he said. ""Everybody is going to play and Kevin (De Bruyne), Ferna (Fernandinho), John (Stones), Benjamin (Mendy)... they are all going to be back soon, and we need them. ""Everybody has contributed, and it has been massive. We are demanding more and more, and we have to train hard and then play well as possible again and again and again. ""Believe me, to get to the international break and go into April with only a month and a half to go and still be there is incredible, and it is an honour for me. ""To have this spirit, desire, this intensity and overcome difficult situations - I told the players that this is going to happen quite often between now and the end of the season where the mentality will be the difference."""
englishFootball,"Second-half goals from Raul Jimenez and Diogo Jota saw Wolves go through to the semi-finals with Marcus Rashford's stoppage-time goal not enough to save United at Molineux. It means after a run of nine away wins in a row, Solskjaer has seen his side lose back-to-back games against Arsenal and Wolves. ""It was a big step backwards I have got to say,"" said Solskjaer. ""That was the poorest performance since I got here. ""Last week we were happy with the performance but today we never had the urgency or the quality on the ball. ""Without the ball we did OK first half but the tempo on the ball wasn't high enough so we played into their hands really. ""I think we felt too comfortable in possession. We never managed to put their goalkeeper under pressure. ""We know we played well against Arsenal last week and didn't get what we deserved. This week we did get what we deserved because we never deserved to win this game."" With United still chasing a place in the Premier League's top four and having a Champions League quarter-final against Barcelona to look forward to, Solskjaer is not too downbeat. ""Of course, you can't sit down and sulk too long,"" he added. ""Of course we are disappointed, everyone is disappointed with the result today. ""But we are ready to go again after the internationals. We have so much to play for. Manchester United in April and May always find our form. ""We cannot wait for the challenge for third and, of course, big nights like when Barcelona come. There are so many highlights to look forward to. ""Don't worry about the players' attitude because when we come back again we will give it a good go."""
englishFootball,"The Scot was appointed as United manager following the retirement of Sir Alex Ferguson, but lasted just 10 months in the job before being sacked with the club eventually slumping to a seventh-place finish. Reflecting on his short spell at Old Trafford, Moyes revealed the lengths United went to in a bid to sign Bale, who went on to join Madrid from Tottenham for a then-world-record £85m fee. ""By the time we got to the end of the transfer window, we always thought we had a chance of getting Gareth Bale,"" Moyes told beIN SPORTS. ""We hoped we could talk him out of going to Real Madrid because it was already half done. ""We had offered more money, we tried to entice him. We did [have a helicopter ready] and we tried."" Bale has won four Champions League titles and one La Liga crown during his six seasons at the Santiago Bernabeu, scoring 102 goals in 224 appearances."
englishFootball,"Chelsea are facing a transfer ban for the next two windows and could lose Hazard in the summer, with his contract set to expire in 2020. Maurizio Sarri's side lost 2-0 at Everton on Super Sunday, and now sit three points off the top four with eight games of the Premier League season remaining. Chelsea have won 15 trophies since Roman Abramovich bought the club in 2003, but they face a battle to reach the Champions League next season, and Souness also believes the club's trophy-winning days may be numbered. ""If you are Hazard, you are one of the best players in the world, and you are thinking I'm now arguably at the peak of my career and I want to be winning the big trophies. Will that happen at Chelsea? I don't think so. They look like they will struggle to get into the top four. Chelsea have a big decision to make, do they cash in or let him walk in 15 months?"" Souness added: ""It's difficult times ahead for Chelsea. I think there's a big sea change in how they see things going forward. I don't think they will be winning trophies in the immediate future."" Former Liverpool and Tottenham midfielder Jamie Redknapp agreed with Souness that Chelsea, and Hazard, face an uncertain future. Redknapp said: ""Hazard is the key. He went to Chelsea for the Champions League but if they don't get in it this year then it gives him an excuse to leave. He seems incredibly loyal and obviously loves the club, but he has a real predicament if they don't get into the Champions League, and so do the club, because it's an opportunity to cash in, but you can't buy anybody to replace him. ""When they won titles they had Didier Drogba, one of the great centre-forwards, and they had Diego Costa. I don't think they have that person now. I think the fans have to be patient. ""They have to try to keep hold of Hazard but if they can't I want to see the players like Callum Hudson-Odoi given a chance. The fans want to see young players get a chance."" Souness also declared himself ""dismayed"" by Chelsea's performance at Everton, saying they play like a ""five-a-side team"". Chelsea dominated the first half at Goodison Park but failed to break the deadlock. They then conceded twice after half-time as their Premier League top-four hopes suffered a setback. ""Chelsea dismay me,"" said Souness. ""They must be wonderful at five-a-side, but look at the stats. They have two thirds of possession, dominated things, had twice as many touches, and they lose 2-0. If you are having that much of the ball where are you having it? It's on the halfway line and in your own half. That's how they are playing, they're like a five-a-side team. ""You take Eden Hazard out of the equation and where's the threat coming from? They have a midfield that is made up of (N'Golo) Kante, who is a fabulous player but doesn't really get goals, and Jorginho, who has two goals this season, and (Ross) Barkley. They don't get goals. The mix is totally wrong. ""If you insist on playing Jorginho, who is neat and tidy but not a goal threat, you have to have goal threats on either side of him. You can't rely on Hazard to do it week in, week out, it's too much for him. You have to share the goals around. ""It's not just about today, this is Chelsea. That's why they look like finishing outside the top four."""
englishFootball,"The pitch invasions occurred at Premier League fixtures at West Ham and Bournemouth, and an FA Cup tie at Swansea. Seven Newcastle fans were arrested at the Vitality Stadium for entering the playing area to celebrate Matt Ritchie's late goal which earned the visitors a 2-2 draw on Saturday afternoon. Dorset Police confirmed on Monday that five fans have been charged and are due to appear at Poole Magistrates' Court on April 2. Meanwhile, a man has been charged and two teenagers cautioned by South Wales Police after going onto the pitch during Swansea's 3-2 FA Cup loss to Manchester City, and a West Ham fan ran onto the pitch at the London Stadium during their win over Huddersfield. The FA are waiting for the referees' match reports before seeking observations from the clubs. Paul Mitchell, 27, of Rubery, was recently jailed for 14 weeks and given a 10-year banning order from all stadiums for running onto the pitch and attacking Aston Villa captain Jack Grealish in a derby game at Birmingham."
englishFootball,"Chelsea dominated the first half at Goodison Park and did everything but score, registering 10 attempts on goal, including an Eden Hazard effort which stuck the post. Everton dent Chelsea top-four hopesEverton 2-0 Chelsea: As it happened But Everton overpowered them in the second half in every department as goals from Richarlison and Gylfi Sigurdsson secured a 2-0 victory. ""It's not impossible,"" said Sarri, when asked if Chelsea's top-four challenge was finished. ""Why impossible?"" ""We need to recover only three points so it's not impossible in eight matches. It's impossible if we are not able to improve, if we are not able to avoid a second half like that. ""We played probably the best 45 minutes of the season and then suddenly at the beginning of the second half we stopped playing - I don't know why,"" Sarri added. ""We were in trouble. ""The situation was clear, it's clear the problem is not a physical problem, if it was physical you would go down gradually, not in one second. It's probably a mental block. Pressed to give his reasons for Chelsea's latest abject away performance, Sarri told Sky Sports: ""I don't know, and the players don't know what happened in the second half. I cannot explain it. ""We played the best first half in the season and we could have scored four or five and then suddenly we stopped playing. It's very strange and we stopped to defend and counter-attack. ""We were in control of the match and we played very well so we needed continue but we didn't defend at the start of the second half. We changed the system, but it was the same. ""The problem was mental on the pitch, so the system and the tactics are not important. It wasn't about motivation because we started very well. We have to play eight matches now and we have to fight for our possibilities."""
englishFootball,"Mane produced another piece of brilliance for Liverpool's opening goal against Fulham. ""I love what he does,"" Jamie Redknapp told Sky Sports. ""He is not just content to pass the ball and stand still, he wants to pass it and get into the box with a bit of pace. ""That's just a man who is red hot right now."" It was the timing of Mane's run that was the key factor in that goal but it's the timing of the forward's run of form that has been absolutely crucial to maintaining Liverpool's title push. They are back at the top of the Premier League and that could not have happened without him. Mohamed Salah's goals had propelled Jurgen Klopp's team to another level for much of the past 18 months. Unfortunately, the Egyptian has endured a dip in form and has now gone seven games without a goal - by far the worst sequence of his Liverpool career. It appears to be affecting Salah's decision-making now, but it has not affected his team too badly - and that is down to Mane. He has seven goals in his last five games, 11 in his last 11. He now has 20 goals in all competitions and this is the best league return of his career too. ""This is not just the form man in the Premier League, this is the form man in Europe,"" said Jamie Carragher on co-commentary for Sky Sports and the numbers back that up. He has nine Premier League goals in 2019, which is a tally that only Sergio Aguero can match. ""That's no penalties as well,"" added Carragher. ""If you think of the top scorers in this league, Salah, Harry Kane and Aguero are taking penalties and he's right up there alongside them."" Indeed, strip out the penalty goals by those other players and Mane has now outscored every other player in the Premier League this season. It is tempting to think that the opportunities are now falling to Mane instead of Salah and some of Klopp's recent comments seem to suggest that it is just one of those things. ""With goalscoring, always a little bit of luck is involved and if you have it in a moment like this then you have to use it because there will be other moments in life,"" said the Liverpool manager. ""He always had the quality. He's just in a good moment of his career."" Some of the numbers support this argument. Mane has got himself into good positions but he has still scored more goals than might have been expected from the chances that he has had. According to Opta, Mane has had 18 clear-cut chances to score in the Premier League this season, which is fewer than the other top scorers in the competition. In fact, it's the same number as Manchester City's Gabriel Jesus but Mane has converted 11 of his opportunities and Jesus only four. But Mane's increased output also reflects his growing maturity. He turns 27 next month and his first goal against Bayern Munich on Wednesday was that of a man who appears ready to seize the moment. He has a manager who believes in him and supporters who adore him. ""Sadio is coming to an age where things are becoming more natural for him,"" said Klopp. ""He is not in the part where he has to convince everybody every day of his career, that he has a good one. We all know he is a world-class player and now he starts realising that himself."" Klopp added: ""Mixed up with his attitude and his work-rate, it could be a really decent career, even better than it has been so far."" The prospect of Mane making further progress is an exciting one for Liverpool supporters. But the truth is that they need him at his best right now. It's Tottenham next up at Anfield and if Liverpool can negotiate that then belief will only grow that they can keep up the pressure on Manchester City right to the end. After that, there's the trip to Mane's former club Southampton. In truth, every single game matters. Liverpool cannot do it without Salah ending his goal drought, most supporters will accept that. But they have a chance thanks to the efforts of Mane. ""What a signing he has been for Liverpool,"" said Carragher. And what an iconic signing he could yet go on to become."
englishFootball,"It was confirmed on Sunday Spurs' first game in their new ground will be against Crystal Palace on Wednesday, April 3 - seven months after they were due to move in. However, at a meeting with the Tottenham Hotspur Supporters' Trust on Tuesday, Levy said ""with a debt of £637m, subject to reasonable assumption on interest rates, the net spend on players would not be affected"". But the chairman did concede qualifying for the Champions League would give Spurs - who are currently three points above fifth-placed Manchester United - ""more flexibility"" in the market. Levy was also asked by the club's supporters why they have not signed a player in the last two transfer windows. Levy said striking deals had been ""tricky"" and he was disappointed the market ""wasn't as liquid as it had been previously"". The 51-year-old, who has been in his post since 2001, refused to reveal the final cost of building the new stadium as ""further works are still to be undertaken"". He said spending would continue for another 12 months. Levy also told fans the opening ceremony for the new stadium may not take place before the first match against Palace, as the fixture is in the evening during midweek, and fans may already have to rush from work to make the game. Furthermore, Levy announced naming rights for the stadium are not yet in place and that, contrary to reports in the media, Spurs have never been in talks with Nike over such a deal. Away from the new stadium, he declared to the supporters the club will be undertaking a full review into their women's team, who are currently top of the Women's Championship."
englishFootball,"The news comes as a result of Brighton beating Millwall in the FA Cup quarter-finals on Sunday. Spurs were due to play Brighton in the first match at the new ground on either April 6 or 7, but Chris Hughton's team will play Manchester City in the FA Cup semi-finals that weekend. Spurs say ticketing and event details for the match against Crystal Palace will be announced on Monday. While the first match at the new stadium has now been arranged, Spurs still need to obtain a safety certificate before they can host games. To do so, they must successfully host two test events at the new ground. The first will be the Tottenham vs Southampton U18 match on Sunday, March 24, with the second being a Tottenham Legends game six days later. Spurs were originally supposed to move into the new 62,062 capacity stadium in September 2018, but various delays have pushed the move back several months."
